# x; y; z; I; u; delta_u; U_prime
322.5;-67.49;30.32;10.77;7.82;1.42;0.84
322.5;-66.49;30.37;10.90;7.82;1.4;0.85
322.5;-65.49;30.42;10.90;7.82;1.27;0.85
322.5;-64.49;30.48;11.05;7.8;1.14;0.86
322.5;-63.49;30.53;11.20;7.78;1.14;0.87
322.5;-62.49;30.58;11.36;7.76;1.14;0.88
322.5;-61.48;30.63;11.67;7.7;1.01;0.9
322.5;-60.48;30.69;11.83;7.66;1.01;0.91
322.5;-59.48;30.74;11.97;7.63;1.01;0.91
322.5;-58.48;30.79;12.12;7.59;1.01;0.92
322.5;-57.48;30.84;12.24;7.56;1.01;0.93
322.5;-56.48;30.9;12.47;7.49;1.03;0.93
322.5;-55.48;30.95;12.66;7.43;1.05;0.94
322.5;-54.48;31;12.74;7.43;1.07;0.95
322.5;-53.48;31.05;12.80;7.43;1.09;0.95
322.5;-52.48;31.11;12.88;7.4;1.1;0.95
322.5;-51.48;31.16;12.95;7.37;1.11;0.95
322.5;-50.48;31.21;13.08;7.32;1.12;0.96
322.5;-49.47;31.26;13.19;7.27;1.13;0.96
322.5;-48.47;31.32;13.29;7.22;1.14;0.96
322.5;-47.47;31.37;13.38;7.17;1.15;0.96
322.5;-46.47;31.42;13.46;7.13;1.15;0.96
322.5;-45.47;31.47;13.54;7.09;1.15;0.96
322.5;-44.47;31.53;13.60;7.05;1.15;0.96
322.5;-43.47;31.58;13.65;7.01;1.15;0.96
322.5;-42.47;31.63;13.70;6.97;1.15;0.96
322.5;-41.47;31.68;13.74;6.94;1.14;0.95
322.5;-40.47;31.73;13.78;6.91;1.14;0.95
322.5;-39.47;31.79;13.81;6.87;1.12;0.95
322.5;-38.46;31.84;13.83;6.84;1.11;0.95
322.5;-37.46;31.89;13.84;6.83;1.08;0.95
322.5;-36.46;31.94;13.85;6.82;1.02;0.94
322.5;-35.46;32;13.86;6.83;0.99;0.95
322.5;-34.46;32.05;13.87;6.85;0.95;0.95
322.5;-33.46;32.1;13.88;6.82;0.92;0.95
322.5;-32.46;32.15;13.88;6.8;0.88;0.94
322.5;-31.46;32.21;13.89;6.78;0.81;0.94
322.5;-30.46;32.26;13.89;6.76;0.75;0.94
322.5;-29.46;32.31;13.88;6.74;0.75;0.94
322.5;-28.46;32.36;13.88;6.73;0.75;0.93
322.5;-27.45;32.42;13.87;6.71;0.72;0.93
322.5;-26.45;32.47;13.86;6.7;0.7;0.93
322.5;-25.45;32.52;13.85;6.69;0.64;0.93
322.5;-24.45;32.57;13.84;6.69;0.59;0.93
322.5;-23.45;32.63;13.82;6.68;0.54;0.92
322.5;-22.45;32.68;13.82;6.68;0.5;0.92
322.5;-21.45;32.73;13.81;6.68;0.53;0.92
